loc_id,easting,northing,lat,lon,n_dates_detected,n_dates_high_conf,mean_zscore,best_zscore,best_date,consistency_score,all_dates
L000,573333.113757,4100379.754132,37.046779,-8.175313,1,1,-1.263795,-1.263795,20241015,1.263795,20241015
L001,575588.688740,4105123.761593,37.089360,-8.149473,1,1,-1.174151,-1.174151,20250925,1.174151,20250925
