image_id,benthic_contrast,snr,fft_clean,edge_entropy,dyn_range,signal
2025-09-25,0.1,129.6,15034,6.63,0.008,0.127
2023-03-15,0.2,98.5,8664,7.26,0.013,0.141
2024-09-30,1.1,129.1,704,1.98,0.006,0.12
2025-03-29,0.2,127.9,13478,6.0,0.008,0.136
2023-09-01,0.1,137.0,17044,6.51,0.005,0.122
2025-09-15,0.1,138.4,17221,7.29,0.005,0.118
2026-02-22,0.2,86.0,6139,6.68,0.014,0.125
2025-10-05,0.1,108.1,10764,7.23,0.007,0.12
