date,cloud_stac,local_cloud_pct,snr,benthic_contrast,fft_cleanliness,edge_entropy,kd_mean,raw_mean,local_cloud_ok,n_clean,n_kd,n_contrast,n_entropy,n_snr,n_local_cloud,BVI
2023-03-15,0.012651,0.0,98.51589965820312,0.21704628709358076,8664.0693359375,7.261407852172852,0.0445658303797245,0.1407109797000885,True,0.876701123133233,1.0,0.02027724680570029,0.9937382641803605,0.4917504569439559,1.0,0.7214665154658979
2025-03-29,0.026941,0.04,127.93767547607422,0.15221384019525885,13477.8681640625,6.00286340713501,0.04477705806493759,0.13583889603614807,True,0.9560098147047421,0.7893735213513886,0.010226256240536285,0.7569147065729922,0.8667248780490177,0.9967689822294018,0.6988090012083614
2023-09-01,0.007721,0.0,136.97210693359375,0.1069420770392071,17043.876953125,6.513947486877441,0.0450856015086174,0.12213637679815292,True,0.9981428427690179,0.4852552000575491,0.0032077634006247736,0.8530867174052765,0.9818668302808415,1.0,0.6733779940227649
2025-09-15,0.011118,0.0,138.3948974609375,0.08625086765192691,17221.146484375,7.294684410095215,0.045274391770362854,0.11829899996519089,True,1.0,0.30121665874994014,0.0,1.0,1.0,1.0,0.660243331749988
2026-02-22,0.008938,0.0,86.04115295410156,0.2023743729466787,6139.06689453125,6.68375825881958,0.04464714974164963,0.12483537942171097,True,0.8148659212382631,0.9186761544391618,0.018002656261636992,0.8850404487891385,0.33276240154039766,1.0,0.657084549922136
2026-03-31,0.015202,0.0,107.60822296142578,0.11901336130932805,10800.1328125,7.088156700134277,0.0449814610183239,0.11313921958208084,True,0.9162552621266636,0.5874356660558511,0.0050791776401440695,0.9611371475911752,0.6076302287235736,1.0,0.6525003792818985
2025-10-05,0.01139,0.0,108.12371063232422,0.13659780458965542,10764.1142578125,7.2323832511901855,0.04531442001461983,0.12037822604179382,True,0.9156556724834657,0.26239293595286317,0.007805298309034122,0.9882766300760182,0.6142000120085285,1.0,0.5926150606855014
2024-12-09,0.024297,0.0,76.68360900878906,0.22522711113310834,5586.23193359375,7.273952007293701,0.04525410383939743,0.12620969116687775,True,0.7979281820527234,0.320920316322303,0.021545522016190408,0.9960987302366936,0.21350244777080143,1.0,0.5387402674934637
2023-11-25,0.031497,0.03,81.5118408203125,0.16607316201202593,5221.5810546875,5.625452041625977,0.04510512948036194,0.12295515090227127,True,0.7858119926201282,0.4661472972956984,0.012374870391076747,0.6858962355021381,0.2750372592551358,0.9975767366720516,0.5223032666104266
2025-01-18,0.006695,0.0,82.34847259521484,0.18938580515737158,6012.73828125,7.229008197784424,0.04539940878748894,0.13378889858722687,True,0.8111339497877984,0.18018861956359158,0.015989035327198715,0.9876415375627432,0.28569995743535753,1.0,0.5187352448030549
2025-04-23,0.014124,12.379999999999999,61.667625427246094,1.0045807420283381,2508.1328125,6.640032768249512,0.04467126354575157,0.13308873772621155,True,0.654201437865889,0.8946179373604555,0.14236891162755827,0.876812510335507,0.022126856247461253,0.0,0.5046822914391472
2023-01-24,0.009934,0.0,68.27566528320312,6.536604838038329,65.52574157714844,4.874326229095459,0.04506918787956238,0.12220217287540436,True,0.0,0.5013285611067342,1.0,0.5445549520571551,0.10634495154412903,1.0,0.492583450184333
2023-04-19,0.045999,0.52,69.7972412109375,0.507610572935846,2628.63623046875,6.78038215637207,0.04532181844115257,0.13177451491355896,True,0.6626241265405707,0.25522465036202613,0.06532350119363728,0.9032224170608927,0.12573712067088294,0.9579967689822297,0.4736224134707206
2023-10-01,0.006758,0.0,59.93147659301758,0.32764607667559176,3148.8154296875,6.621123790740967,0.045288458466529846,0.1336081475019455,True,0.6950324135332505,0.28756543356567077,0.03742356002971482,0.8732543592174059,0.0,1.0,0.4697440559850006
