feature,weight,difference_pref_minus_other,contribution
green_std,-4.383904409531911,-0.09466026723384857,0.4149815629339378
blue_std,18.906369490786478,0.02194751799106598,0.41494788454477716
blue_mean,-1.9230453308884485,-0.21560901403427124,0.4146259077360673
sobel_ratio,-14.03246731151727,-0.029546957463026047,0.41461671475470424
canny_ratio_density,-10.198340824013037,-0.040642643362908765,0.41448752900375496
directional_blue,-1.9817248764428719,-0.20913809122007926,0.41445415798260965
whole_std,-4.233398705582991,-0.0978667140007019,0.41430882037023226
directional_green,-2.498182686453444,-0.16580463427861225,0.41421026668857436
green_mean,-1.8485657380418616,-0.2238062024116516,0.41372047773944104
lap_var_green,-94.11696277821454,-0.004395299591124058,0.41367224801692454
directional_ratio,-4.1266320196235995,-0.10015605059414379,0.413307165340835
lap_var_blue,-217.0997993464361,-0.0019031506963074207,0.4131736342943712
sobel_blue,-60.70522279034939,-0.006801886484026909,0.4129100344075198
lap_var_ratio,-15.923080607616122,-0.025919659063220024,0.41272082058558024
sobel_green,-315.7115232857391,-0.0013045594096183777,0.4118644384273625
fft_highfreq_ratio_green,1561.890677765088,0.00020125064290955403,0.31433150305466306
fft_highfreq_ratio_ratio,-1741.8033753319091,-0.00011055103907753815,0.19255817301170575
fft_highfreq_ratio_blue,1591.9176537407045,7.450065596987168e-05,0.11859890945370154
